ThreatID,Level,RiskType,ScenarioName,ScenarioName_ZH,Severity,Description,Description_ZH,RecommendedControlID,CAF_Principle
L3-PH-01,3,Phishing,Spear Phishing to Finance Team,针对财务团队的鱼叉式网络钓鱼,Medium,Attackers send realistic emails to finance staff using known supplier names.,攻击者利用已知供应商名义向财务人员发送高度仿真的钓鱼邮件。,C-AWARE-03,B6
L3-PH-02,3,Phishing,Lookalike Domain Phishing,仿冒域名钓鱼攻击,Medium,Emails come from a domain visually similar to the organisation's official one.,邮件来自与组织官方域名外观相似的仿冒域名。,C-DATA-08,B3a;A2
L3-PH-03,3,Phishing,Link to Convincing Fake Login Page,高仿真仿冒登录页面凭据窃取,Medium,A realistic fake portal captures staff credentials when they sign in.,高度仿真的假冒门户页面在员工登录时窃取其凭据。,C-IAM-03,B2a
L3-PH-04,3,Phishing,Multiple Unreported Phishing Attempts,多次钓鱼攻击均未上报,Medium,Several staff receive phishing messages but none are reported to IT.,多名员工收到钓鱼信息，但均未向IT部门上报。,C-GOV-03,D1
L3-PH-05,3,Phishing,Phishing Bypass of Simple Filters,钓鱼邮件绕过基础过滤规则,Medium,Attackers slightly alter text and images to bypass basic email filters.,攻击者对文字和图片进行微调以绕过基础邮件过滤器。,C-MON-01,C1
L3-PH-06,3,Phishing,Credential Theft Leads to Mailbox Rule Abuse,凭据窃取导致邮箱规则被滥用,High,Compromised mailbox is used to auto-forward or hide important emails.,被攻陷的邮箱被用于自动转发或隐藏重要邮件。,C-MON-02,C1;B2
L3-PH-07,3,Phishing,Phishing Used to Access Cloud Admin Portal,钓鱼攻击获取云管理后台访问权,High,Stolen credentials are used to sign in to a cloud admin portal without MFA.,窃取的凭据被用于在无多因素认证的情况下登录云管理门户。,C-IAM-04,B2a;B2c
L3-IAM-01,3,IAM,Common Password Reuse Across Systems,跨系统口令复用问题,Medium,"Users reuse the same password for email, VPN and third-party services.","用户对邮箱、VPN和第三方服务使用相同口令。",C-IAM-01,B2
L3-IAM-02,3,IAM,No Regular Access Review,访问权限从未主动审查,Medium,"Access rights are only adjusted when staff complain, never proactively reviewed.","访问权限仅在员工投诉后调整，从未主动审查。",C-IAM-05,B2d
L3-IAM-03,3,IAM,Admin Activities from Unhardened Laptops,使用未加固终端执行管理员操作,Medium,Administrators perform changes from standard user laptops used for email and web browsing.,管理员使用日常收发邮件和浏览网页的普通终端执行系统变更。,C-IAM-07,B2b
